Data Year	County Number	County Name	District Number	District Type	District Name	School Number	School Name	ECSU Number	Economic Development Region	School Classification	Grade	Total Enrollment	Filter Groups	Total Female Count	Total Female Percent	Total Male Count	Total Male Percent	Total American Indian or Alaska Native Count	Total American Indian or Alaska Native Percent	American Indian or Alaska Native Female Count	American Indian or Alaska Native Male Count	Total Asian Count	Total Asian Percent	Asian Female Count	Asian Male Count	Total Native Hawaiian or Pacific Islander Count	Total Native Hawaiian or Pacific Islander Percent	Native Hawaiian or Pacific Islander Female Count	Native Hawaiian or Pacific Islander Male Count	Total Hispanic or Latino Count	Total Hispanic or Latino Percent	Hispanic or Latino Female Count	Hispanic or Latino Male Count	Total Black or African American Count	Total Black or African American Percent	Black or African American Female Count	Black or African American Male Count	Total White Count	Total White Percent	White Female Count	White Male Count	Total Two or More Races Count	Total Two or More Races Percent	Two or More Races Female Count	Two or More Races Male Count	Total Students of Color or American Indian Count	Total Students of Color or American Indian Percent	Total Students Eligible for Free or Reduced Priced Meals Count	Total Students Eligible for Free or Reduced Priced Meals Percent	Total Students Receiving Special Education Services Count	Total Students Receiving Special Education Services Percent	Total English Learner Identified Count	Total English Learner Identified Percent	Total Students Experiencing Homelessness Count	Total Students Experiencing Homelessness Percent	Additional Suppression Free or Reduced Priced Meals Applied	Additional Suppression Special Education Applied	Additional Suppression English Learner Identified Applied	Additional Suppression Homeless Applied
20-21	1	Aitkin	1	1	Aitkin Public School District	2	Rippleside Elementary	3	3	10	2	55	N	32	58.18%	23	41.82%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	1.82%	0	1	2	3.64%	2	0	48	87.27%	28	20	4	7.27%	2	2	7	12.73%	30	54.55%	10	18.18%	0	0.00%	0	0.00%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	2	Rippleside Elementary	3	3	10	3	88	N	37	42.05%	51	57.95%	1	1.14%	0	1	1	1.14%	0	1	0	0.00%	0	0	4	4.55%	2	2	0	0.00%	0	0	78	88.64%	31	47	4	4.55%	4	0	10	11.36%	28	31.82%	16	18.18%	0	0.00%	0	0.00%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	2	Rippleside Elementary	3	3	10	4	72	N	36	50.00%	36	50.00%	2	2.78%	0	2	1	1.39%	1	0	0	0.00%	0	0	1	1.39%	0	1	0	0.00%	0	0	64	88.89%	34	30	4	5.56%	1	3	8	11.11%	26	36.11%	13	18.06%	0	0.00%	0	0.00%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	2	Rippleside Elementary	3	3	10	5	84	N	34	40.48%	50	59.52%	1	1.19%	0	1	1	1.19%	0	1	0	0.00%	0	0	1	1.19%	0	1	1	1.19%	1	0	77	91.67%	31	46	3	3.57%	2	1	7	8.33%	31	36.90%	13	15.48%	0	0.00%	1	1.19%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	2	Rippleside Elementary	3	3	10	6	78	N	30	38.46%	48	61.54%	1	1.28%	0	1	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	75	96.15%	29	46	2	2.56%	1	1	3	3.85%	32	41.03%	14	17.95%	0	0.00%	0	0.00%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	2	Rippleside Elementary	3	3	10	All Grades	518	N	235	45.37%	283	54.63%	7	1.35%	2	5	3	0.58%	1	2	0	0.00%	0	0	8	1.54%	3	5	6	1.16%	4	2	467	90.15%	211	256	27	5.21%	14	13	51	9.85%	200	38.61%	105	20.27%	0	0.00%	1	0.19%	N	N	N	N
20-21	1	Aitkin	1	1	Aitkin Public School District	6	Aitkin Alternative Learning Program	3	3	42	10	1	Y	0	0.00%	1	100.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	1	100.00%	0	1	0	0.00%	0	0	0	0.00%									Y	Y	Y	Y
20-21	1	Aitkin	1	1	Aitkin Public School District	6	Aitkin Alternative Learning Program	3	3	42	11	4	Y	3	75.00%	1	25.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	4	100.00%	3	1	0	0.00%	0	0	0	0.00%									Y	Y	Y	Y
20-21	1	Aitkin	1	1	Aitkin Public School District	6	Aitkin Alternative Learning Program	3	3	42	12	7	Y	3	42.86%	4	57.14%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	7	100.00%	3	4	0	0.00%	0	0	0	0.00%									Y	Y	Y	Y
20-21	1	Aitkin	1	1	Aitkin Public School District	6	Aitkin Alternative Learning Program	3	3	42	All Grades	12	N	6	50.00%	6	50.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	12	100.00%	6	6	0	0.00%	0	0	0	0.00%	2	16.67%	1	8.33%	0	0.00%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	103	Armatage Elementary	11	11	10	ECSE	16	N	5	31.25%	11	68.75%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	12.50%	1	1	6	37.50%	3	3	5	31.25%	0	5	3	18.75%	1	2	11	68.75%	8	50.00%		>=90%	0	0.00%	0	0.00%	N	Y	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	103	Armatage Elementary	11	11	10	KG	78	N	40	51.28%	38	48.72%	0	0.00%	0	0	1	1.28%	1	0	0	0.00%	0	0	0	0.00%	0	0	13	16.67%	8	5	60	76.92%	29	31	4	5.13%	2	2	18	23.08%	16	20.51%	7	8.97%	11	14.10%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	103	Armatage Elementary	11	11	10	1	97	N	54	55.67%	43	44.33%	0	0.00%	0	0	2	2.06%	1	1	0	0.00%	0	0	6	6.19%	4	2	10	10.31%	7	3	66	68.04%	33	33	13	13.40%	9	4	31	31.96%	11	11.34%	4	4.12%	4	4.12%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	103	Armatage Elementary	11	11	10	2	91	N	46	50.55%	45	49.45%	0	0.00%	0	0	3	3.30%	1	2	0	0.00%	0	0	2	2.20%	0	2	14	15.38%	8	6	64	70.33%	33	31	8	8.79%	4	4	27	29.67%	24	26.37%	5	5.49%	4	4.40%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	103	Armatage Elementary	11	11	10	3	82	N	47	57.32%	35	42.68%	0	0.00%	0	0	1	1.22%	0	1	0	0.00%	0	0	4	4.88%	2	2	17	20.73%	10	7	54	65.85%	29	25	6	7.32%	6	0	28	34.15%	18	21.95%	9	10.98%	7	8.54%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	103	Armatage Elementary	11	11	10	4	77	N	42	54.55%	35	45.45%	0	0.00%	0	0	4	5.19%	1	3	0	0.00%	0	0	1	1.30%	1	0	15	19.48%	11	4	49	63.64%	26	23	8	10.39%	3	5	28	36.36%	17	22.08%	5	6.49%	6	7.79%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	103	Armatage Elementary	11	11	10	5	86	N	42	48.84%	44	51.16%	0	0.00%	0	0	2	2.33%	1	1	0	0.00%	0	0	6	6.98%	2	4	17	19.77%	8	9	58	67.44%	31	27	3	3.49%	0	3	28	32.56%	18	20.93%	7	8.14%	2	2.33%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	103	Armatage Elementary	11	11	10	All Grades	527	N	276	52.37%	251	47.63%	0	0.00%	0	0	13	2.47%	5	8	0	0.00%	0	0	21	3.98%	10	11	92	17.46%	55	37	356	67.55%	181	175	45	8.54%	25	20	171	32.45%	112	21.25%	53	10.06%	34	6.45%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	104	Lake Harriet Lower Elementary	11	11	10	KG	88	N	43	48.86%	45	51.14%	1	1.14%	1	0	4	4.55%	3	1	0	0.00%	0	0	7	7.95%	4	3	4	4.55%	2	2	67	76.14%	33	34	5	5.68%	0	5	21	23.86%	4	4.55%	2	2.27%			0	0.00%	N	N	Y	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	104	Lake Harriet Lower Elementary	11	11	10	1	137	N	72	52.55%	65	47.45%	0	0.00%	0	0	3	2.19%	2	1	1	0.73%	1	0	1	0.73%	1	0	2	1.46%	0	2	119	86.86%	65	54	11	8.03%	3	8	18	13.14%	4	2.92%	8	5.84%			0	0.00%	N	N	Y	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	104	Lake Harriet Lower Elementary	11	11	10	2	111	N	57	51.35%	54	48.65%	1	0.90%	0	1	3	2.70%	0	3	0	0.00%	0	0	7	6.31%	4	3	3	2.70%	2	1	84	75.68%	43	41	13	11.71%	8	5	27	24.32%	14	12.61%	7	6.31%	2	1.80%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	104	Lake Harriet Lower Elementary	11	11	10	3	119	N	62	52.10%	57	47.90%	0	0.00%	0	0	3	2.52%	2	1	0	0.00%	0	0	2	1.68%	2	0	3	2.52%	1	2	102	85.71%	51	51	9	7.56%	6	3	17	14.29%	2	1.68%	13	10.92%	1	0.84%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	104	Lake Harriet Lower Elementary	11	11	10	All Grades	455	N	234	51.43%	221	48.57%	2	0.44%	1	1	13	2.86%	7	6	1	0.22%	1	0	17	3.74%	11	6	12	2.64%	5	7	372	81.76%	192	180	38	8.35%	17	21	83	18.24%	24	5.27%	30	6.59%	5	1.10%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	105	Bancroft Elementary	11	11	10	ECSE	6	Y	3	50.00%	3	50.00%	0	0.00%	0	0	1	16.67%	0	1	0	0.00%	0	0	0	0.00%	0	0	2	33.33%	1	1	1	16.67%	1	0	2	33.33%	1	1	5	83.33%									Y	Y	Y	Y
20-21	27	Hennepin	1	3	Minneapolis Public School District	105	Bancroft Elementary	11	11	10	KG	95	N	50	52.63%	45	47.37%	3	3.16%	1	2	2	2.11%	1	1	0	0.00%	0	0	15	15.79%	11	4	24	25.26%	12	12	42	44.21%	23	19	9	9.47%	2	7	53	55.79%			9	9.47%	17	17.89%	0	0.00%	Y	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	105	Bancroft Elementary	11	11	10	1	96	N	39	40.63%	57	59.38%	7	7.29%	4	3	2	2.08%	1	1	0	0.00%	0	0	17	17.71%	6	11	21	21.88%	7	14	36	37.50%	14	22	13	13.54%	7	6	60	62.50%	55	57.29%	13	13.54%	23	23.96%			N	N	N	Y
20-21	27	Hennepin	1	3	Minneapolis Public School District	105	Bancroft Elementary	11	11	10	2	81	N	46	56.79%	35	43.21%	8	9.88%	6	2	2	2.47%	1	1	0	0.00%	0	0	11	13.58%	5	6	29	35.80%	17	12	23	28.40%	13	10	8	9.88%	4	4	58	71.60%	50	61.73%	13	16.05%	20	24.69%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	105	Bancroft Elementary	11	11	10	3	75	N	36	48.00%	39	52.00%	7	9.33%	2	5	5	6.67%	2	3	0	0.00%	0	0	11	14.67%	4	7	30	40.00%	19	11	16	21.33%	7	9	6	8.00%	2	4	59	78.67%	50	66.67%	15	20.00%	20	26.67%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	105	Bancroft Elementary	11	11	10	4	71	N	37	52.11%	34	47.89%	8	11.27%	6	2	1	1.41%	1	0	0	0.00%	0	0	15	21.13%	7	8	30	42.25%	14	16	12	16.90%	7	5	5	7.04%	2	3	59	83.10%	50	70.42%	17	23.94%	23	32.39%	1	1.41%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	105	Bancroft Elementary	11	11	10	5	70	N	31	44.29%	39	55.71%	4	5.71%	2	2	4	5.71%	0	4	0	0.00%	0	0	18	25.71%	9	9	28	40.00%	12	16	13	18.57%	6	7	3	4.29%	2	1	57	81.43%	46	65.71%	13	18.57%			1	1.43%	N	N	Y	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	105	Bancroft Elementary	11	11	10	All Grades	494	N	242	48.99%	252	51.01%	37	7.49%	21	16	17	3.44%	6	11	0	0.00%	0	0	87	17.61%	42	45	164	33.20%	82	82	143	28.95%	71	72	46	9.31%	20	26	351	71.05%	299	60.53%	86	17.41%	118	23.89%	3	0.61%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	KG	59	N	26	44.07%	33	55.93%	1	1.69%	0	1	0	0.00%	0	0	0	0.00%	0	0	2	3.39%	0	2	22	37.29%	10	12	31	52.54%	13	18	3	5.08%	3	0	28	47.46%	23	38.98%	3	5.08%	13	22.03%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	1	74	N	35	47.30%	39	52.70%	0	0.00%	0	0	1	1.35%	1	0	0	0.00%	0	0	0	0.00%	0	0	22	29.73%	11	11	47	63.51%	22	25	4	5.41%	1	3	27	36.49%	23	31.08%	4	5.41%	8	10.81%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	2	71	N	40	56.34%	31	43.66%	0	0.00%	0	0	1	1.41%	1	0	0	0.00%	0	0	3	4.23%	3	0	20	28.17%	11	9	47	66.20%	25	22	0	0.00%	0	0	24	33.80%	16	22.54%	4	5.63%	8	11.27%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	3	66	N	35	53.03%	31	46.97%	0	0.00%	0	0	2	3.03%	1	1	0	0.00%	0	0	1	1.52%	0	1	32	48.48%	19	13	26	39.39%	14	12	5	7.58%	1	4	40	60.61%	35	53.03%	7	10.61%	10	15.15%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	4	65	N	35	53.85%	30	46.15%	1	1.54%	1	0	0	0.00%	0	0	0	0.00%	0	0	5	7.69%	3	2	32	49.23%	15	17	23	35.38%	13	10	4	6.15%	3	1	42	64.62%	33	50.77%	3	4.62%	17	26.15%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	5	69	N	30	43.48%	39	56.52%	0	0.00%	0	0	2	2.90%	0	2	0	0.00%	0	0	2	2.90%	0	2	31	44.93%	13	18	33	47.83%	17	16	1	1.45%	0	1	36	52.17%	30	43.48%	9	13.04%	9	13.04%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	6	63	N	36	57.14%	27	42.86%	0	0.00%	0	0	1	1.59%	1	0	0	0.00%	0	0	5	7.94%	2	3	30	47.62%	21	9	25	39.68%	11	14	2	3.17%	1	1	38	60.32%	32	50.79%	8	12.70%	7	11.11%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	7	75	N	40	53.33%	35	46.67%	1	1.33%	0	1	0	0.00%	0	0	0	0.00%	0	0	5	6.67%	2	3	32	42.67%	19	13	37	49.33%	19	18	0	0.00%	0	0	38	50.67%	31	41.33%	8	10.67%	9	12.00%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	8	82	N	39	47.56%	43	52.44%	1	1.22%	1	0	0	0.00%	0	0	0	0.00%	0	0	4	4.88%	2	2	33	40.24%	14	19	38	46.34%	20	18	6	7.32%	2	4	44	53.66%	38	46.34%	8	9.76%	14	17.07%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	106	Barton Open Elementary	11	11	10	All Grades	624	N	316	50.64%	308	49.36%	4	0.64%	2	2	7	1.12%	4	3	0	0.00%	0	0	27	4.33%	12	15	254	40.71%	133	121	307	49.20%	154	153	25	4.01%	11	14	317	50.80%	261	41.83%	54	8.65%	95	15.22%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	107	Bethune Elementary	11	11	10	PK	19	N	12	63.16%	7	36.84%	1	5.26%	1	0	2	10.53%	1	1	0	0.00%	0	0	3	15.79%	2	1	11	57.89%	8	3	0	0.00%	0	0	2	10.53%	0	2	19	100.00%	11	57.89%	0	0.00%	0	0.00%	2	10.53%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	107	Bethune Elementary	11	11	10	KG	59	N	29	49.15%	30	50.85%	0	0.00%	0	0	3	5.08%	2	1	0	0.00%	0	0	4	6.78%	1	3	41	69.49%	17	24	7	11.86%	5	2	4	6.78%	4	0	52	88.14%	45	76.27%	8	13.56%	2	3.39%	2	3.39%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	107	Bethune Elementary	11	11	10	1	46	N	17	36.96%	29	63.04%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	40	86.96%	14	26	3	6.52%	1	2	3	6.52%	2	1	43	93.48%	40	86.96%	10	21.74%	2	4.35%	1	2.17%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	107	Bethune Elementary	11	11	10	2	50	N	21	42.00%	29	58.00%	0	0.00%	0	0	0	0.00%	0	0	0	0.00%	0	0	2	4.00%	0	2	42	84.00%	17	25	3	6.00%	2	1	3	6.00%	2	1	47	94.00%		>=90%	9	18.00%	2	4.00%	3	6.00%	Y	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	107	Bethune Elementary	11	11	10	3	53	N	24	45.28%	29	54.72%	0	0.00%	0	0	2	3.77%	2	0	0	0.00%	0	0	1	1.89%	1	0	44	83.02%	16	28	4	7.55%	4	0	2	3.77%	1	1	49	92.45%	45	84.91%	15	28.30%	4	7.55%	3	5.66%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	107	Bethune Elementary	11	11	10	4	33	N	14	42.42%	19	57.58%	0	0.00%	0	0	1	3.03%	1	0	0	0.00%	0	0	1	3.03%	0	1	27	81.82%	10	17	1	3.03%	0	1	3	9.09%	3	0	32	96.97%		>=90%	5	15.15%	1	3.03%	0	0.00%	Y	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	107	Bethune Elementary	11	11	10	5	38	N	12	31.58%	26	68.42%	1	2.63%	1	0	1	2.63%	1	0	0	0.00%	0	0	0	0.00%	0	0	33	86.84%	10	23	0	0.00%	0	0	3	7.89%	0	3	38	100.00%	33	86.84%	13	34.21%	3	7.89%	2	5.26%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	107	Bethune Elementary	11	11	10	All Grades	298	N	129	43.29%	169	56.71%	2	0.67%	2	0	9	3.02%	7	2	0	0.00%	0	0	11	3.69%	4	7	238	79.87%	92	146	18	6.04%	12	6	20	6.71%	12	8	280	93.96%	252	84.56%	60	20.13%	14	4.70%	13	4.36%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	110	Burroughs Elementary	11	11	10	KG	101	N	48	47.52%	53	52.48%	0	0.00%	0	0	2	1.98%	2	0	0	0.00%	0	0	7	6.93%	2	5	6	5.94%	3	3	79	78.22%	36	43	7	6.93%	5	2	22	21.78%	17	16.83%	7	6.93%	5	4.95%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	110	Burroughs Elementary	11	11	10	1	117	N	51	43.59%	66	56.41%	0	0.00%	0	0	2	1.71%	1	1	0	0.00%	0	0	6	5.13%	4	2	5	4.27%	3	2	98	83.76%	43	55	6	5.13%	0	6	19	16.24%	11	9.40%	15	12.82%	4	3.42%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	110	Burroughs Elementary	11	11	10	2	113	N	48	42.48%	65	57.52%	0	0.00%	0	0	4	3.54%	3	1	0	0.00%	0	0	7	6.19%	3	4	10	8.85%	4	6	83	73.45%	33	50	9	7.96%	5	4	30	26.55%	18	15.93%	8	7.08%	7	6.19%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	110	Burroughs Elementary	11	11	10	3	104	N	43	41.35%	61	58.65%	0	0.00%	0	0	5	4.81%	2	3	1	0.96%	1	0	4	3.85%	3	1	8	7.69%	2	6	79	75.96%	33	46	7	6.73%	2	5	25	24.04%	6	5.77%	14	13.46%	2	1.92%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	110	Burroughs Elementary	11	11	10	4	123	N	54	43.90%	69	56.10%	0	0.00%	0	0	4	3.25%	2	2	1	0.81%	0	1	8	6.50%	4	4	8	6.50%	6	2	94	76.42%	39	55	8	6.50%	3	5	29	23.58%	12	9.76%	13	10.57%	4	3.25%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	110	Burroughs Elementary	11	11	10	5	112	N	59	52.68%	53	47.32%	1	0.89%	0	1	3	2.68%	1	2	0	0.00%	0	0	6	5.36%	1	5	8	7.14%	4	4	87	77.68%	51	36	7	6.25%	2	5	25	22.32%	16	14.29%	11	9.82%	3	2.68%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	110	Burroughs Elementary	11	11	10	All Grades	670	N	303	45.22%	367	54.78%	1	0.15%	0	1	20	2.99%	11	9	2	0.30%	1	1	38	5.67%	17	21	45	6.72%	22	23	520	77.61%	235	285	44	6.57%	17	27	150	22.39%	80	11.94%	68	10.15%	25	3.73%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	119	Field Community	11	11	20	5	127	N	68	53.54%	59	46.46%	0	0.00%	0	0	3	2.36%	1	2	0	0.00%	0	0	10	7.87%	6	4	8	6.30%	4	4	93	73.23%	53	40	13	10.24%	4	9	34	26.77%	16	12.60%	18	14.17%	4	3.15%	0	0.00%	N	N	N	N
20-21	27	Hennepin	1	3	Minneapolis Public School District	119	Field Community	11	11	20	6	107	N	47	43.93%	60	56.07%	0	0.00%	0	0	4	3.74%	2	2	0	0.00%	0	0	2	1.87%	1	1	11	10.28%	4	7	71	66.36%	32	39	19	17.76%	8	11	36	33.64%	22	20.56%	17	15.89%	1	0.93%	0	0.00%	N	N	N	N
